FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
.500,.526,.444,.571,.800,.617,.357,.321,109,100,124,108,104,109,137,84,2.4,3.4
.364,.571,.000,.364,.500,.392,.364,.364,79,109,,69,65,69,140,95,-3.6,-4.4
.667,1.000,.000,.667,.000,.515,.667,.333,145,191,,126,,91,256,87,.8,-0.4
.250,.400,.000,.250,1.000,.338,.250,.375,54,76,,47,129,60,96,98,-4.5,-4.0
,,,,,,,,,,,,,,,,.0,.0
.250,.300,.200,.300,,.300,.000,.500,54,57,56,57,,53,,130,-9.2,-10.6
.504,.571,.352,.558,.812,.608,.363,.303,110,109,98,105,105,108,140,79,13.5,23.5
.489,.549,.354,.544,.919,.618,.397,.310,106,105,99,103,119,109,152,81,38.0,161.0
.472,.569,.322,.535,.784,.587,.388,.395,102,109,90,101,102,104,149,103,3.8,15.7
.300,.375,.000,.300,,.300,.000,.200,65,72,,57,,53,,52,-4.6,-5.3
.417,.472,.308,.469,.829,.494,.128,.333,91,90,86,89,107,87,49,87,-38.5,-47.9
.444,.509,.364,.526,.833,.537,.063,.452,96,97,102,99,108,95,24,118,-2.1,-21.5
.667,.661,1.000,.675,.652,.681,.243,.016,145,126,279,128,84,121,94,4,55.1,48.7
.357,.467,.231,.411,.500,.415,.071,.464,78,89,64,78,65,74,27,121,-6.6,-8.6
.273,.385,.111,.295,.800,.351,.227,.409,59,73,31,56,104,62,87,107,-10.3,-10.3
.500,.667,.000,.500,.333,.470,.750,.250,109,127,,95,43,83,288,65,-0.2,-1.0
.510,.610,.361,.583,.844,.620,.252,.401,111,117,101,110,109,110,97,104,52.1,59.7
.424,.486,.330,.489,.809,.520,.174,.398,92,93,92,93,105,92,67,104,-59.4,-72.6
.361,.476,.200,.403,.800,.458,.278,.417,78,91,56,76,104,81,107,108,-9.1,-8.6
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.373,.250,.392,.542,.875,.568,.136,.864,81,48,110,103,113,101,52,225,1.6,.4
.438,.488,.326,.489,.892,.541,.250,.309,95,93,91,92,115,96,96,80,-59.9,-39.7
.407,.438,.358,.476,.808,.510,.190,.385,89,84,100,90,105,90,73,100,-112.6,-126.1
.443,.470,.344,.480,.740,.518,.266,.215,96,90,96,91,96,92,102,56,-43.8,-47.0
.316,.300,.333,.395,1.000,.472,.263,.474,69,57,93,75,129,84,101,123,-5.1,-3.9
.481,.543,.382,.554,.724,.583,.274,.381,105,104,107,105,94,103,105,99,44.9,36.4
.400,.400,,.400,.375,.407,.800,.000,87,76,,76,49,72,307,,-2.6,-4.3
.371,.425,.324,.457,.800,.486,.156,.531,81,81,90,86,104,86,60,138,-36.8,-43.0
