Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,ORtg,DRtg
Trey Lyles\lylestr01,PF,24,SAS,63,53,5.8,12.9,.446,2.4,6.3,.387,3.3,6.6,.503,1.2,1.7,.733,2.7,10.9,13.6,2.6,1.1,1.1,1.5,15.2,113,113
Daryl Macon\maconda01,PG,24,MIA,4,0,3.5,10.5,.333,3.5,7.0,.500,0.0,3.5,.000,0.0,0.0,,0.0,0.0,0.0,3.5,0.0,0.0,7.0,10.5,65,118
J.P. Macura\macurjp01,SG,24,CLE,1,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,123
Josh Magette\magetjo01,PG,30,ORL,8,0,6.4,19.2,.333,1.3,5.1,.250,5.1,14.1,.364,1.3,2.6,.500,1.3,6.4,7.7,6.4,3.8,1.3,6.4,15.4,71,105
Ian Mahinmi\mahinia01,C,33,WAS,38,35,6.0,12.1,.495,0.3,1.5,.192,5.7,10.6,.538,4.0,6.5,.619,4.5,8.1,12.6,2.8,1.8,2.5,2.6,16.4,110,112
Thon Maker\makerth01,C,22,DET,60,14,5.9,12.2,.482,1.4,4.1,.344,4.5,8.2,.550,4.6,7.0,.664,3.4,7.2,10.6,2.7,1.6,2.5,2.9,17.8,111,110
Terance Mann\mannte01,SF,23,LAC,41,6,4.8,10.3,.468,0.9,2.6,.350,3.9,7.7,.508,2.4,3.5,.667,1.3,5.9,7.2,6.9,1.4,0.7,2.4,12.9,114,109
Boban Marjanović\marjabo01,C,31,DAL,44,5,13.9,24.2,.573,0.5,1.9,.235,13.4,22.2,.603,4.9,6.5,.754,7.6,15.0,22.6,2.3,0.9,1.1,3.4,33.1,120,108
Lauri Markkanen\markkla01,PF,22,CHI,50,50,8.1,19.1,.425,3.5,10.2,.344,4.6,8.8,.518,4.1,4.9,.824,1.9,8.2,10.1,2.4,1.4,0.7,2.6,23.8,108,110
Caleb Martin\martica02,SF,24,CHO,18,1,5.8,13.3,.440,3.2,5.8,.541,2.7,7.4,.362,2.7,3.3,.810,1.6,4.4,6.0,3.6,1.9,1.1,2.4,17.5,113,113
Cody Martin\martico01,SF,24,CHO,48,3,4.9,11.5,.430,1.0,4.3,.234,3.9,7.2,.546,2.3,3.6,.646,2.1,6.7,8.8,5.3,2.2,0.5,2.4,13.2,104,112
Jeremiah Martin\martije02,PG,23,BRK,9,0,11.5,25.3,.453,2.4,8.6,.278,9.1,16.7,.543,5.3,6.7,.786,0.5,4.3,4.8,8.6,3.3,1.0,1.9,30.6,116,107
Kelan Martin\martike03,SF,24,MIN,31,4,6.7,17.0,.392,2.3,9.0,.260,4.3,8.0,.541,2.8,2.9,.968,1.1,7.9,9.0,2.2,0.7,0.8,1.9,18.5,100,114
Frank Mason III\masonfr01,PG,25,MIL,9,0,8.9,19.7,.451,2.3,8.1,.286,6.6,11.6,.567,3.9,6.6,.588,1.9,5.4,7.4,11.2,1.9,0.4,4.3,24.0,110,104
Garrison Mathews\mathega01,SG,23,WAS,18,0,4.9,11.5,.429,3.9,9.5,.413,1.0,2.1,.500,6.4,7.0,.912,1.2,3.7,4.9,2.1,1.6,0.2,1.6,20.2,133,118
Wesley Matthews\matthwe02,SG,33,MIL,67,67,4.7,11.8,.396,3.0,8.3,.364,1.6,3.5,.472,1.5,1.9,.765,0.6,4.0,4.6,2.6,1.1,0.3,1.2,13.8,109,107
Luc Mbah a Moute\mbahalu01,PF,33,HOU,3,0,3.7,9.3,.400,0.0,3.7,.000,3.7,5.6,.667,1.9,3.7,.500,1.9,1.9,3.7,0.0,3.7,0.0,1.9,9.3,82,110
Patrick McCaw\mccawpa01,SF,24,TOR,37,12,3.5,8.5,.414,1.2,3.7,.324,2.3,4.8,.484,0.7,0.9,.722,1.0,3.5,4.5,4.1,2.0,0.2,1.5,8.9,105,108
CJ McCollum\mccolcj01,SG,28,POR,70,70,11.4,25.3,.451,3.6,9.5,.379,7.8,15.7,.494,2.6,3.4,.757,0.9,4.7,5.5,5.8,1.0,0.8,2.4,29.0,111,118
T.J. McConnell\mccontj01,PG,27,IND,71,3,7.8,15.0,.516,0.2,0.6,.294,7.6,14.4,.525,1.3,1.5,.833,1.4,5.5,6.9,13.0,2.0,0.4,3.7,17.0,112,109
Jalen McDaniels\mcdanja01,SF,22,CHO,16,0,5.6,12.0,.471,1.5,4.1,.375,4.1,7.9,.522,2.4,2.9,.824,2.6,8.5,11.1,2.2,1.4,0.5,1.9,15.2,112,113
Doug McDermott\mcderdo01,PF,28,IND,69,0,9.4,19.3,.488,4.5,10.4,.435,4.9,8.9,.549,1.7,2.1,.828,0.9,5.2,6.2,2.8,0.4,0.2,1.5,25.1,117,113
JaVale McGee\mcgeeja01,C,32,LAL,68,68,8.2,12.9,.637,0.1,0.3,.500,8.1,12.6,.640,2.2,3.5,.646,5.3,11.2,16.4,1.6,1.5,4.0,2.3,18.8,124,101
Rodney McGruder\mcgruro01,SG,28,LAC,56,4,3.9,9.8,.398,1.3,4.8,.270,2.6,5.0,.522,1.0,1.8,.559,1.6,6.6,8.2,2.0,1.4,0.4,1.3,10.1,100,109
Alfonzo McKinnie\mckinal01,SF,27,CLE,40,1,6.0,14.0,.427,1.1,5.3,.215,4.8,8.7,.557,1.8,2.5,.710,3.0,6.2,9.3,1.1,1.9,0.7,2.1,14.9,99,115
Jordan McLaughlin\mclaujo01,PG,23,MIN,30,2,6.8,14.0,.489,2.3,6.0,.382,4.6,8.0,.569,2.0,3.1,.667,0.6,3.3,3.9,9.8,2.7,0.3,2.4,18.0,121,113
Ben McLemore\mclembe01,SF,26,HOU,71,23,6.9,15.6,.444,5.2,12.9,.400,1.7,2.7,.656,1.4,1.9,.746,0.6,3.9,4.5,1.7,1.3,0.5,1.4,20.4,118,113
Jordan McRae\mcraejo01,SG,28,TOT,37,4,9.0,22.0,.407,2.7,7.6,.357,6.3,14.4,.433,5.0,6.6,.761,1.1,6.4,7.5,5.6,1.3,1.0,2.6,25.6,105,116
Jordan McRae\mcraejo01,SG,28,WAS,29,4,9.5,22.7,.420,2.9,7.6,.377,6.6,15.1,.441,4.6,5.9,.771,1.2,6.2,7.4,5.9,1.4,1.1,2.7,26.4,106,116
Jordan McRae\mcraejo01,SG,28,DEN,4,0,3.1,9.3,.333,3.1,6.2,.500,0.0,3.1,.000,4.6,6.2,.750,1.5,6.2,7.7,6.2,3.1,1.5,0.0,13.9,144,108
Jordan McRae\mcraejo01,SG,28,DET,4,0,7.0,21.6,.326,1.5,8.0,.188,5.5,13.6,.407,8.0,11.0,.727,0.0,7.5,7.5,3.5,0.0,0.0,2.5,23.6,92,117
Nicolò Melli\mellini01,C,29,NOP,60,8,6.0,14.3,.421,3.1,9.1,.335,3.0,5.2,.573,2.4,3.2,.740,1.7,6.3,8.0,3.6,1.5,1.0,2.0,17.5,111,112
De'Anthony Melton\meltode01,PG,21,MEM,60,8,6.4,16.0,.401,1.6,5.6,.286,4.8,10.4,.464,3.7,4.8,.769,1.7,7.1,8.8,7.0,3.1,0.8,3.4,18.2,102,107
Chimezie Metu\metuch01,C,22,SAS,18,0,10.9,19.1,.571,0.0,0.9,.000,10.9,18.2,.600,4.6,5.9,.769,5.5,9.6,15.0,4.6,1.4,2.7,4.6,26.4,113,110
Khris Middleton\middlkh01,SF,28,MIL,62,59,11.6,23.3,.497,3.6,8.7,.415,8.0,14.6,.546,5.1,5.6,.916,1.1,8.3,9.4,6.5,1.3,0.2,3.4,32.0,118,104
Eric Mika\mikaer01,C,25,SAC,1,0,5.1,7.7,.667,0.0,0.0,,5.1,7.7,.667,5.1,5.1,1.000,5.1,12.8,17.9,0.0,0.0,0.0,0.0,15.3,173,113
C.J. Miles\milescj01,SF,32,WAS,10,0,5.5,17.1,.322,3.2,10.2,.314,2.3,7.0,.333,4.4,5.8,.750,1.2,2.3,3.5,3.5,2.9,1.2,1.2,18.6,103,114
Malcolm Miller\millema01,SF,26,TOR,28,1,3.5,8.5,.414,2.3,6.5,.364,1.2,2.1,.571,0.9,2.3,.375,0.6,4.1,4.7,3.2,1.5,0.6,1.2,10.3,108,108
Patty Mills\millspa02,PG,31,SAS,66,1,8.3,19.2,.431,5.0,13.0,.382,3.3,6.3,.533,3.1,3.6,.866,0.7,2.8,3.5,3.8,1.7,0.2,1.7,24.7,115,116
Paul Millsap\millspa01,PF,34,DEN,51,48,8.4,17.5,.482,2.2,4.9,.435,6.3,12.5,.500,4.6,5.6,.816,3.9,7.8,11.7,3.3,1.8,1.2,2.8,23.6,116,110
Shake Milton\miltosh01,SG,23,PHI,40,24,8.1,16.7,.484,3.5,8.1,.430,4.6,8.6,.535,3.1,3.9,.785,0.9,4.4,5.3,6.3,1.2,0.4,2.8,22.7,118,112
Donovan Mitchell\mitchdo01,SG,23,UTA,69,69,12.4,27.6,.449,3.6,9.7,.366,8.8,17.9,.494,5.7,6.6,.863,1.1,5.2,6.3,6.1,1.4,0.3,3.8,34.1,110,111
Naz Mitrou-Long\mitrona01,SG,26,IND,5,0,6.2,17.5,.353,2.1,12.4,.167,4.1,5.2,.800,0.0,0.0,,0.0,7.2,7.2,8.3,1.0,1.0,3.1,14.5,87,109
Adam Mokoka\mokokad01,SF,21,CHI,11,0,5.2,12.0,.429,2.6,6.5,.400,2.6,5.6,.462,0.9,1.7,.500,3.0,1.3,4.3,1.7,1.7,0.0,0.9,13.8,115,114
Malik Monk\monkma01,SG,21,CHO,55,1,9.1,20.9,.434,2.5,8.7,.284,6.6,12.2,.542,3.5,4.3,.820,1.2,5.6,6.7,4.9,1.1,0.7,3.3,24.2,102,115
Matt Mooney\moonema01,SG,22,CLE,4,0,2.6,10.2,.250,0.0,5.1,.000,2.6,5.1,.500,0.0,0.0,,0.0,7.7,7.7,2.6,5.1,2.6,0.0,5.1,69,104
E'Twaun Moore\mooreet01,SG,30,NOP,56,6,8.4,19.8,.426,2.9,7.6,.377,5.6,12.2,.456,1.4,2.0,.689,1.4,4.5,5.9,3.5,1.5,0.5,1.8,21.1,104,114
Ja Morant\moranja01,PG,20,MEM,67,67,10.1,21.1,.477,1.4,4.0,.335,8.7,17.1,.511,5.4,6.9,.776,1.1,4.7,5.8,11.0,1.3,0.4,5.0,26.9,109,113
Juwan Morgan\morgaju01,PF,22,UTA,21,0,5.4,9.4,.577,1.1,2.9,.375,4.4,6.5,.667,1.1,1.5,.750,3.6,6.9,10.5,2.2,0.4,0.7,2.2,13.1,121,112
Marcus Morris\morrima03,SF-PF,30,TOT,62,62,8.9,20.2,.438,3.5,8.7,.408,5.3,11.5,.461,4.5,5.5,.823,1.5,6.3,7.8,2.1,1.2,0.7,2.4,25.8,111,113
Marcus Morris\morrima03,SF,30,NYK,43,43,9.9,22.3,.442,4.1,9.3,.439,5.8,13.1,.444,5.7,7.0,.823,1.7,6.5,8.2,2.1,1.2,0.6,2.6,29.5,113,115
Marcus Morris\morrima03,PF,30,LAC,19,19,6.4,15.0,.425,2.2,7.2,.310,4.1,7.7,.533,1.5,1.9,.818,0.9,5.8,6.7,2.3,1.1,1.1,2.1,16.5,101,109
Markieff Morris\morrima02,PF,30,TOT,58,17,8.4,18.9,.443,3.6,9.4,.386,4.7,9.5,.500,2.7,3.5,.776,1.6,7.3,9.0,3.2,1.3,0.7,3.1,23.1,105,112
Markieff Morris\morrima02,PF,30,DET,44,16,8.7,19.4,.450,3.7,9.4,.397,5.0,10.0,.500,3.0,3.9,.772,1.2,7.4,8.6,3.4,1.3,0.5,3.5,24.2,104,113
Markieff Morris\morrima02,PF,30,LAL,14,1,6.7,16.5,.406,3.1,9.3,.333,3.6,7.2,.500,1.2,1.4,.833,3.8,6.9,10.8,1.9,1.2,1.4,1.4,17.7,110,107
Monte Morris\morrimo01,PG,24,DEN,73,12,7.9,17.1,.459,2.0,5.2,.378,5.9,11.9,.495,2.3,2.7,.843,0.7,3.4,4.1,7.7,1.7,0.5,1.6,19.9,118,114
Johnathan Motley\motlejo01,PF,24,LAC,13,0,12.7,17.3,.733,1.2,1.2,1.000,11.5,16.1,.714,5.8,8.1,.714,3.5,8.1,11.5,9.2,3.5,0.0,5.8,32.3,132,104
Emmanuel Mudiay\mudiaem01,PG,23,UTA,54,2,8.6,18.7,.462,1.7,5.0,.345,6.9,13.7,.504,3.6,4.8,.759,1.0,6.2,7.2,6.6,1.4,0.6,4.4,22.6,103,111
Mychal Mulder\muldemy01,SF,25,GSW,7,3,6.1,15.7,.388,3.8,12.2,.308,2.3,3.5,.667,2.1,2.8,.750,0.7,4.7,5.4,1.9,0.5,0.2,1.2,18.1,104,118
Dejounte Murray\murrade01,PG,23,SAS,66,58,8.3,18.0,.462,1.2,3.1,.369,7.2,14.9,.481,2.6,3.2,.798,2.0,8.9,10.8,7.7,3.1,0.5,3.5,20.4,105,110
Jamal Murray\murraja01,PG,22,DEN,59,59,10.6,23.2,.456,2.9,8.4,.346,7.7,14.8,.519,4.2,4.8,.881,1.2,5.0,6.1,7.4,1.7,0.4,3.3,28.3,112,113
Džanan Musa\musadz01,SF,20,BRK,40,0,6.2,16.7,.372,1.8,7.6,.244,4.4,9.1,.479,4.4,5.8,.750,2.0,6.3,8.4,4.2,1.5,0.1,3.5,18.7,96,111
Mike Muscala\muscami01,C,28,OKC,47,2,6.5,16.1,.407,4.6,12.1,.378,2.0,3.9,.500,1.5,1.9,.818,1.4,7.8,9.2,3.4,0.8,1.0,1.4,19.2,114,110
Sviatoslav Mykhailiuk\mykhasv01,SF,22,DET,56,27,6.5,15.7,.410,4.5,11.1,.404,2.0,4.7,.425,2.2,2.7,.814,0.7,3.4,4.0,4.1,1.6,0.2,2.4,19.6,110,116
Abdel Nader\naderab01,SF,26,OKC,55,6,6.9,14.7,.468,2.7,7.2,.375,4.2,7.6,.556,2.9,3.7,.773,0.8,4.8,5.6,2.1,1.3,1.1,2.4,19.3,107,111
Larry Nance Jr.\nancela02,PF,27,CLE,56,10,7.6,14.2,.531,1.9,5.3,.352,5.7,9.0,.636,1.7,2.4,.676,3.5,10.0,13.5,4.1,1.9,0.7,2.0,18.6,122,113
Shabazz Napier\napiesh01,PG,28,TOT,56,32,6.5,15.8,.412,2.6,8.3,.317,3.9,7.5,.519,4.4,5.3,.824,0.9,4.6,5.5,9.1,2.4,0.4,4.4,20.0,106,114
Shabazz Napier\napiesh01,PG,28,MIN,36,22,6.2,15.3,.403,2.5,8.6,.296,3.6,6.7,.540,3.9,4.8,.818,0.9,5.0,6.0,10.1,2.2,0.4,4.1,18.8,108,113
Shabazz Napier\napiesh01,PG,28,WAS,20,10,7.1,16.6,.428,2.8,7.8,.358,4.3,8.8,.489,5.2,6.2,.831,0.9,3.7,4.6,7.2,2.8,0.4,5.0,22.1,104,115
Raul Neto\netora01,PG,27,PHI,54,3,7.3,16.1,.455,2.5,6.4,.386,4.9,9.7,.500,2.8,3.4,.830,0.8,3.6,4.4,6.9,1.7,0.4,3.4,20.0,109,111
Malik Newman\newmama01,SG,22,CLE,1,0,0.0,24.3,.000,0.0,12.2,.000,0.0,12.2,.000,24.3,24.3,1.000,0.0,0.0,0.0,0.0,0.0,0.0,12.2,24.3,58,123
Georges Niang\niangge01,PF,26,UTA,66,1,7.4,17.0,.438,4.7,11.9,.400,2.7,5.1,.526,1.1,1.3,.833,0.8,5.9,6.7,2.3,0.9,0.3,1.6,20.7,113,112
Joakim Noah\noahjo01,C,34,LAC,5,0,3.8,7.6,.500,0.0,0.0,,3.8,7.6,.500,5.7,7.6,.750,4.7,10.4,15.1,6.6,0.9,0.9,5.7,13.2,107,107
Nerlens Noel\noelne01,C,25,OKC,61,7,7.9,11.6,.684,0.0,0.1,.333,7.9,11.5,.688,3.4,4.6,.755,3.9,9.0,12.9,2.5,2.5,3.9,2.8,19.4,127,102
Zach Norvell\norveza01,SG,22,TOT,5,0,3.5,14.0,.250,3.5,9.3,.375,0.0,4.7,.000,1.2,1.2,1.000,0.0,7.0,7.0,3.5,2.3,0.0,3.5,11.7,74,112
Zach Norvell\norveza01,SG,22,LAL,2,0,0.0,9.5,.000,0.0,0.0,,0.0,9.5,.000,0.0,0.0,,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0,111
Zach Norvell\norveza01,SG,22,GSW,3,0,4.0,14.6,.273,4.0,10.6,.375,0.0,4.0,.000,1.3,1.3,1.000,0.0,6.6,6.6,4.0,2.7,0.0,4.0,13.3,78,113
Jaylen Nowell\nowelja01,SG,20,MIN,15,0,5.8,16.3,.358,0.9,8.0,.115,4.9,8.3,.593,4.9,5.2,.941,0.9,3.1,4.0,5.8,0.9,0.3,0.9,17.5,109,117
Frank Ntilikina\ntilila01,PG,21,NYK,57,26,5.4,13.7,.393,1.8,5.6,.321,3.6,8.0,.444,2.1,2.4,.864,0.9,4.0,5.0,7.1,2.2,0.7,2.9,14.6,103,113
Kendrick Nunn\nunnke01,PG,24,MIA,67,67,10.0,22.7,.439,3.4,9.7,.350,6.6,13.0,.505,2.1,2.5,.850,0.5,4.0,4.5,5.5,1.4,0.4,2.8,25.5,103,112
Jusuf Nurkić\nurkiju01,C,25,POR,8,8,10.2,20.5,.495,0.4,1.9,.200,9.8,18.6,.525,5.8,6.6,.886,4.3,11.1,15.4,6.0,2.1,3.0,3.6,26.6,116,108
David Nwaba\nwabada01,SF,27,BRK,20,0,6.5,12.5,.521,2.1,4.9,.429,4.4,7.6,.581,3.2,4.8,.667,1.4,6.5,7.9,1.4,1.9,2.1,1.4,18.4,120,107
Royce O'Neale\onealro01,SF,26,UTA,71,62,3.8,8.7,.433,2.2,5.8,.377,1.6,2.9,.545,1.0,1.3,.764,0.6,8.6,9.2,4.3,1.4,0.8,1.4,10.7,117,109
Kyle O'Quinn\oquinky01,C,29,PHI,29,2,6.5,13.2,.494,1.1,4.2,.259,5.4,9.0,.603,1.7,3.1,.550,5.3,12.7,18.0,7.9,1.1,3.7,3.1,15.8,117,104
Semi Ojeleye\ojelese01,PF,25,BOS,69,6,3.8,9.4,.408,2.3,6.1,.378,1.5,3.3,.464,1.3,1.5,.875,1.2,5.7,6.9,1.8,1.0,0.2,0.9,11.3,116,111
Jahlil Okafor\okafoja01,C,24,NOP,30,9,10.0,16.1,.623,0.1,0.3,.333,9.9,15.8,.629,4.0,6.1,.645,4.8,7.8,12.6,3.7,0.7,2.2,3.8,24.1,117,112
Elie Okobo\okoboel01,PG,22,PHO,55,3,4.7,11.9,.398,1.6,4.7,.352,3.1,7.2,.427,3.3,4.7,.704,1.1,4.9,5.9,7.6,1.6,0.3,2.5,14.4,109,113
Josh Okogie\okogijo01,SG,21,MIN,62,28,5.1,11.9,.427,1.2,4.6,.266,3.9,7.3,.529,4.6,5.7,.796,2.6,5.4,8.0,3.0,2.0,0.8,2.6,16.0,108,113
KZ Okpala\okpalkz01,PF,20,MIA,5,0,5.6,9.4,.600,0.0,1.9,.000,5.6,7.5,.750,1.9,3.8,.500,1.9,7.5,9.4,1.9,3.8,1.9,1.9,13.1,110,103
Victor Oladipo\oladivi01,SG,27,IND,19,16,8.9,22.6,.394,3.0,9.6,.317,5.9,13.0,.451,4.4,5.4,.814,0.8,6.1,6.9,5.1,1.6,0.4,4.3,25.3,94,110
Kelly Olynyk\olynyke01,C,28,MIA,67,9,6.9,14.9,.462,3.6,8.8,.406,3.3,6.2,.543,3.2,3.8,.860,1.7,9.8,11.5,4.4,1.7,0.9,2.7,20.6,116,108
Miye Oni\onimi01,SF,22,UTA,10,1,5.4,14.3,.375,3.1,8.5,.368,2.2,5.8,.385,1.8,2.2,.800,2.2,5.4,7.6,1.8,1.8,0.9,1.8,15.6,104,110
Cedi Osman\osmande01,SF,24,CLE,65,65,6.8,15.5,.437,3.1,8.2,.383,3.6,7.3,.497,1.6,2.4,.670,1.0,4.9,5.9,3.9,1.4,0.4,2.3,18.3,107,117
Kelly Oubre Jr.\oubreke01,SF,24,PHO,56,55,9.1,20.2,.452,2.6,7.5,.352,6.5,12.7,.511,4.7,6.0,.780,1.6,7.2,8.8,2.1,1.7,1.0,2.0,25.6,109,110
Tariq Owens\owensta01,PF,24,PHO,3,0,3.2,15.8,.200,0.0,6.3,.000,3.2,9.5,.333,6.3,6.3,1.000,6.3,3.2,9.5,0.0,3.2,0.0,0.0,12.6,96,111
Jeremy Pargo\pargoje01,PG,33,GSW,3,0,12.0,23.9,.500,3.3,7.6,.429,8.7,16.3,.533,0.0,1.1,.000,1.1,2.2,3.3,8.7,1.1,0.0,4.4,27.2,103,119
Jabari Parker\parkeja01,PF,24,TOT,38,23,11.2,21.9,.510,1.6,6.1,.269,9.5,15.8,.603,3.1,4.1,.753,3.1,7.8,10.9,3.5,2.3,0.8,3.3,27.1,108,112
Jabari Parker\parkeja01,PF,24,ATL,32,23,11.0,21.9,.504,1.7,6.4,.270,9.3,15.5,.601,3.0,4.0,.736,3.0,7.6,10.6,3.2,2.3,0.8,3.3,26.7,106,113
Jabari Parker\parkeja01,PF,24,SAC,6,0,12.7,21.8,.583,0.6,2.4,.250,12.1,19.4,.625,4.9,5.5,.889,4.2,9.7,13.9,6.1,1.8,0.6,2.4,30.9,129,110
Chandler Parsons\parsoch01,PF,31,ATL,5,0,4.3,15.5,.278,3.5,12.1,.286,0.9,3.5,.250,0.0,0.0,,0.9,5.2,6.0,2.6,3.5,0.9,2.6,12.1,77,112
Eric Paschall\pascher01,PF,23,GSW,60,26,9.2,18.5,.497,1.1,3.7,.287,8.1,14.8,.550,4.7,6.1,.774,2.4,5.6,8.0,3.7,0.9,0.4,2.7,24.2,110,117
Anžejs Pasečņiks\pasecan01,C,24,WAS,27,0,6.5,12.4,.526,0.0,0.3,.000,6.5,12.1,.540,3.6,6.2,.586,4.5,7.0,11.4,1.9,1.0,1.3,2.6,16.7,109,116
Patrick Patterson\pattepa01,PF,30,LAC,59,18,5.8,14.2,.408,4.1,10.5,.390,1.7,3.7,.459,2.1,2.6,.814,2.1,7.1,9.2,2.5,0.4,0.2,1.3,17.8,119,111
Justin Patton\pattoju01,C,22,OKC,5,0,8.1,20.2,.400,2.0,8.1,.250,6.1,12.1,.500,0.0,0.0,,2.0,8.1,10.1,4.0,0.0,0.0,4.0,18.2,86,113
Chris Paul\paulch01,PG,34,OKC,70,70,9.6,19.5,.489,2.4,6.7,.365,7.1,12.8,.554,5.6,6.1,.907,0.6,7.1,7.7,10.4,2.4,0.2,3.5,27.1,120,108
Cameron Payne\payneca01,SG,25,PHO,8,0,8.5,17.6,.485,3.9,7.5,.517,4.7,10.1,.462,1.6,1.8,.857,1.0,7.0,8.0,6.2,2.1,0.5,2.8,22.5,115,110
Elfrid Payton\paytoel01,PG,25,NYK,45,36,7.5,17.2,.439,0.5,2.7,.203,7.0,14.5,.482,1.9,3.4,.570,2.0,6.3,8.3,12.6,2.7,0.7,3.8,17.5,105,111
Gary Payton II\paytoga02,SF,27,WAS,29,17,5.2,12.6,.414,1.4,5.0,.283,3.8,7.6,.500,0.4,0.9,.500,2.8,5.8,8.7,5.2,3.6,0.8,2.2,12.2,103,111
Norvel Pelle\pelleno01,C,26,PHI,24,0,5.2,10.0,.521,0.0,0.2,.000,5.2,9.8,.532,1.5,2.9,.500,4.2,10.9,15.0,1.7,0.6,6.5,3.8,11.9,94,102
Theo Pinson\pinsoth01,SG,24,BRK,33,0,5.8,20.1,.290,1.9,10.4,.188,3.9,9.7,.400,1.9,2.1,.938,1.3,5.7,7.0,7.3,2.2,0.5,4.3,15.6,80,109
Mason Plumlee\plumlma01,C,29,DEN,61,1,8.3,13.5,.615,0.0,0.2,.000,8.3,13.2,.625,3.9,7.2,.535,4.6,10.2,14.8,7.2,1.5,1.8,3.8,20.4,118,108
Jakob Poeltl\poeltja01,C,24,SAS,66,18,6.8,10.9,.624,0.0,0.0,,6.8,10.9,.624,1.6,3.5,.465,5.3,10.0,15.3,4.7,1.5,3.9,2.2,15.2,125,108
Vincent Poirier\poirivi01,C,26,BOS,22,0,6.3,13.4,.472,0.4,0.7,.500,5.9,12.6,.471,2.2,2.6,.857,4.8,11.1,16.0,3.0,0.7,3.3,3.0,15.2,107,104
Shamorie Ponds\pondssh01,PG,21,TOR,4,0,13.0,21.6,.600,4.3,8.6,.500,8.6,13.0,.667,8.6,8.6,1.000,0.0,4.3,4.3,8.6,0.0,4.3,0.0,38.9,164,107
Jordan Poole\poolejo01,SG,20,GSW,57,14,6.3,18.9,.333,2.8,10.0,.279,3.5,8.9,.392,3.6,4.5,.798,0.3,4.1,4.4,5.0,1.3,0.4,2.8,18.9,91,117
Kevin Porter Jr.\porteke02,SF,19,CLE,50,3,7.8,17.6,.442,2.2,6.6,.335,5.6,11.0,.506,3.1,4.2,.723,0.9,5.9,6.8,4.6,1.9,0.6,3.9,20.9,99,115
Michael Porter Jr.\portemi01,SF,21,DEN,55,8,10.7,21.0,.509,3.4,8.0,.422,7.3,12.9,.564,3.3,3.9,.833,3.6,10.6,14.2,2.5,1.5,1.4,2.7,28.0,118,109
Otto Porter\porteot01,SF,26,CHI,14,9,9.0,20.4,.443,3.5,9.0,.387,5.5,11.4,.487,2.8,3.9,.704,1.9,5.1,7.0,3.6,2.2,0.9,1.6,24.3,112,110
Bobby Portis\portibo01,PF,24,NYK,66,5,9.3,20.6,.450,2.3,6.5,.358,6.9,14.1,.493,2.5,3.3,.763,2.8,9.0,11.8,3.4,1.1,0.6,2.6,23.3,107,113
Kristaps Porziņģis\porzikr01,C,24,DAL,57,57,10.6,24.8,.427,3.8,10.7,.352,6.8,14.1,.484,6.0,7.5,.799,2.7,11.7,14.4,2.7,1.1,3.1,2.5,31.0,111,107
Dwight Powell\poweldw01,C,28,DAL,40,37,6.7,10.4,.638,0.5,1.8,.256,6.2,8.7,.716,3.4,5.1,.667,3.4,6.9,10.3,2.7,1.5,1.0,1.6,17.1,134,111
Norman Powell\powelno01,SG,26,TOR,52,26,9.5,19.2,.495,3.5,8.8,.399,6.0,10.5,.575,4.1,4.9,.843,0.8,5.3,6.1,2.9,1.9,0.7,2.5,26.7,115,106
Taurean Prince\princta02,PF,25,BRK,64,61,7.1,18.8,.376,3.7,11.0,.339,3.4,7.8,.429,1.8,2.3,.798,1.3,8.4,9.7,3.0,1.5,0.6,3.2,19.7,94,109
Chasson Randle\randlch01,PG,26,GSW,3,0,0.0,4.8,.000,0.0,2.4,.000,0.0,2.4,.000,6.0,7.2,.833,0.0,2.4,2.4,6.0,2.4,0.0,0.0,6.0,113,116
Julius Randle\randlju01,PF,25,NYK,64,64,10.8,23.5,.460,1.5,5.4,.277,9.3,18.1,.515,6.0,8.2,.733,3.5,11.0,14.6,4.6,1.2,0.5,4.5,29.2,105,112
Josh Reaves\reavejo02,SF,22,DAL,4,0,5.2,15.5,.333,0.0,3.5,.000,5.2,12.1,.429,3.5,3.5,1.000,1.7,3.5,5.2,5.2,0.0,0.0,0.0,13.8,107,118
Cam Reddish\reddica01,SF,20,ATL,58,34,6.4,16.6,.384,2.5,7.5,.332,3.9,9.1,.428,3.0,3.8,.802,1.1,5.4,6.5,2.6,1.9,0.8,2.9,18.3,95,115
J.J. Redick\redicjj01,SG,35,NOP,60,36,8.4,18.5,.453,5.3,11.6,.453,3.1,6.8,.453,4.8,5.4,.892,0.3,4.1,4.4,3.5,0.6,0.3,2.2,26.8,122,116
Naz Reid\reidna01,C,20,MIN,30,11,9.4,22.8,.412,3.0,9.1,.330,6.4,13.7,.466,3.5,5.0,.698,3.2,8.4,11.6,3.3,1.8,2.1,2.1,25.2,105,110
