Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,ORtg,DRtg
Reggie Jackson\jacksre01,SG,29,LAC,17,6,7.6,16.7,.453,3.4,8.2,.413,4.2,8.5,.492,2.5,2.7,.905,0.8,5.9,6.7,7.1,0.7,0.5,3.7,21.0,111,111
Justin James\jamesju01,SF,23,SAC,36,0,7.3,17.6,.417,1.9,6.1,.310,5.4,11.5,.473,2.1,4.4,.476,1.3,5.4,6.7,3.8,1.3,1.9,1.7,18.6,99,112
LeBron James\jamesle01,PG,35,LAL,67,67,13.2,26.8,.493,3.0,8.7,.348,10.2,18.0,.564,5.4,7.8,.693,1.4,9.4,10.8,14.0,1.6,0.7,5.4,34.9,116,106
Amile Jefferson\jeffeam01,PF,26,ORL,18,0,3.3,9.2,.357,0.0,0.0,,3.3,9.2,.357,3.3,9.2,.357,6.6,8.6,15.1,2.6,0.7,2.0,2.0,9.9,95,110
DaQuan Jeffries\jeffrda01,SG,22,SAC,13,0,6.9,13.8,.500,1.7,6.2,.278,5.2,7.6,.682,1.7,2.1,.833,1.0,5.2,6.2,2.4,1.4,0.3,0.7,17.2,121,114
Ty Jerome\jeromty01,SG,22,PHO,31,0,5.5,16.3,.336,2.0,7.2,.280,3.5,9.1,.381,1.7,2.3,.750,1.0,5.6,6.6,6.4,2.2,0.4,2.6,14.7,92,111
Alize Johnson\johnsal02,PF,23,IND,17,1,4.9,11.9,.414,1.2,3.3,.375,3.7,8.6,.429,2.9,4.1,.700,6.6,13.2,19.7,2.9,1.2,0.8,2.9,14.0,108,105
B.J. Johnson\johnsbj01,SF,24,ORL,10,0,5.3,18.8,.281,1.8,5.3,.333,3.5,13.5,.261,5.3,5.9,.900,1.8,7.0,8.8,1.8,1.8,0.0,3.5,17.6,81,111
Cameron Johnson\johnsca02,PF,23,PHO,57,9,6.6,15.3,.435,4.0,10.3,.390,2.6,5.0,.526,1.7,2.2,.807,1.8,5.2,7.1,2.6,1.4,0.8,1.2,19.0,117,113
James Johnson\johnsja01,PF-C,32,TOT,32,1,7.9,16.5,.479,2.5,7.0,.363,5.4,9.5,.565,2.4,3.7,.646,1.9,7.1,9.1,5.7,1.9,2.5,3.7,20.7,107,108
James Johnson\johnsja01,PF,32,MIA,18,0,6.8,15.1,.448,2.8,7.8,.356,4.0,7.3,.548,1.4,2.4,.571,1.4,7.6,9.0,3.6,1.0,2.3,2.6,17.7,103,109
James Johnson\johnsja01,C,32,MIN,14,1,8.8,17.6,.500,2.3,6.3,.370,6.5,11.3,.573,3.2,4.7,.676,2.3,6.7,9.1,7.3,2.6,2.6,4.5,23.1,109,108
Keldon Johnson\johnske04,SF,20,SAS,17,1,8.4,14.1,.596,2.1,3.5,.591,6.4,10.6,.597,5.6,7.0,.795,1.6,7.5,9.0,2.4,2.2,0.3,2.1,24.4,131,113
Stanley Johnson\johnsst04,PF,23,TOR,25,0,7.0,18.7,.373,2.2,7.6,.292,4.8,11.1,.429,2.9,5.1,.563,2.2,9.5,11.7,6.3,1.9,1.3,4.8,19.0,90,103
Tyler Johnson\johnsty01,PG-SG,27,TOT,39,7,6.5,16.7,.388,2.5,7.9,.319,3.9,8.8,.450,2.8,3.3,.840,1.2,3.9,5.1,4.9,1.1,0.6,1.9,18.3,105,114
Tyler Johnson\johnsty01,PG,27,PHO,31,3,6.0,15.7,.380,2.2,7.6,.289,3.8,8.1,.466,2.2,2.9,.750,0.9,3.9,4.8,4.6,1.1,0.7,2.2,16.4,98,114
Tyler Johnson\johnsty01,SG,27,BRK,8,4,7.8,19.3,.405,3.4,8.8,.389,4.4,10.5,.419,4.4,4.4,1.000,2.0,3.9,5.9,5.9,1.0,0.2,1.2,23.4,121,113
Nikola Jokić\jokicni01,C,24,DEN,73,73,12.0,22.7,.528,1.7,5.4,.314,10.3,17.3,.594,5.2,6.4,.817,3.5,11.5,15.0,10.8,1.8,0.9,4.8,30.8,119,108
Damian Jones\jonesda03,C,24,ATL,55,27,6.4,9.4,.680,0.1,0.5,.222,6.3,8.9,.704,3.3,4.4,.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,16.1,138,113
Derrick Jones Jr.\jonesde02,SF,22,MIA,59,16,6.5,12.4,.527,1.3,4.7,.280,5.2,7.7,.677,3.4,4.4,.772,2.3,5.9,8.3,2.2,2.1,1.3,1.1,17.7,126,109
Tyus Jones\jonesty01,PG,23,MEM,65,6,7.5,16.3,.459,1.8,4.7,.379,5.7,11.6,.492,1.6,2.2,.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,18.3,116,112
DeAndre Jordan\jordade01,C,31,BRK,56,6,7.3,11.0,.666,0.0,0.0,,7.3,11.0,.666,3.2,4.7,.680,5.4,16.1,21.5,4.0,0.7,2.0,2.8,17.8,129,104
Cory Joseph\josepco01,PG,28,SAC,72,26,4.7,11.4,.415,1.5,4.4,.352,3.2,7.0,.455,1.7,1.9,.857,1.2,4.0,5.2,6.9,1.5,0.6,2.2,12.6,110,114
