Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
88,0.4,-0.6,6,5,16,4,20,2,65,2,4
88,7.2,8.7,4,1,8,4,10,0,26,0,2
88,-5.3,-8.7,2,4,8,0,10,2,39,2,2
89,1.2,1.0,15,6,47,3,7,9,201,2,11
90,-9.4,-2.0,21,3,44,5,9,4,115,2,6
91,-0.9,4.0,17,23,83,22,66,10,132,10,32
92,1.8,3.7,32,14,33,3,47,32,258,13,20
93,10.4,7.1,34,15,37,3,34,26,291,9,24
94,-5.5,-4.8,13,13,67,7,34,4,165,8,18
94,-7.1,2.4,12,13,57,5,28,4,141,5,16
94,4.2,-0.7,1,0,10,2,6,0,24,3,2
95,4.7,1.8,1,1,21,4,6,2,13,1,1
96,-7.0,-8.0,11,7,46,5,9,1,99,2,4
97,-22.6,-15.7,1,0,1,0,1,0,2,0,1
98,-24.5,-23.5,1,0,5,1,0,0,7,0,0
99,10.6,14.0,23,6,10,2,3,7,208,1,7
99,18.6,24.0,6,3,2,0,0,0,71,0,4
99,7.2,8.5,17,3,8,2,3,7,137,1,3
100,-9.0,-0.2,29,17,57,21,68,7,270,12,23
101,-3.3,-4.7,5,3,29,1,5,3,43,2,1
101,3.4,0.5,1,1,16,0,3,0,32,1,1
101,-7.5,-7.2,4,2,13,1,2,3,11,1,0
102,-0.2,0.8,21,14,55,12,54,6,182,19,20
103,-0.2,3.2,38,31,44,11,71,4,341,25,52
103,-6.3,2.2,21,9,12,3,37,1,174,15,22
103,3.6,1.9,17,22,32,8,34,3,167,10,30
104,-17.5,-17.8,0,4,5,4,9,2,37,3,5
105,-11.0,-15.3,11,2,14,2,2,6,64,0,4
106,-9.2,-14.3,1,0,6,0,2,0,2,1,2
107,2.7,-3.9,5,1,12,1,3,0,37,1,4
108,-5.6,4.1,22,30,78,17,69,1,144,22,54
109,7.3,8.9,5,3,23,4,3,2,34,0,6
110,2.0,-0.4,55,23,35,7,57,30,499,12,15
111,5.1,-7.6,28,17,46,1,17,7,267,6,18
112,5.0,-1.0,16,11,11,1,7,4,119,2,12
113,-17.6,-15.1,0,2,5,0,4,0,2,0,0
113,-21.2,-13.3,0,1,4,0,3,0,2,0,0
113,-11.0,-13.3,0,1,1,0,1,0,0,0,0
114,0.2,1.2,43,25,111,13,57,18,217,15,23
114,-2.5,3.9,32,17,71,7,42,13,132,11,14
114,5.3,2.9,11,8,40,6,15,5,85,4,9
115,-16.6,-11.5,5,6,29,2,7,2,81,2,7
115,-15.4,-8.9,3,3,23,2,6,2,68,2,7
115,-21.1,-17.3,2,3,6,0,1,0,13,0,0
116,-5.7,-11.3,11,4,77,4,15,5,110,6,10
117,28.6,29.3,0,0,0,0,0,0,7,0,0
118,-2.1,-4.3,40,12,66,10,44,17,373,10,21
118,-3.5,-4.5,31,11,40,6,32,12,285,7,14
118,1.4,-1.8,9,1,26,4,12,5,88,3,7
119,-3.4,2.3,32,20,69,15,55,4,266,10,53
120,3.8,-2.0,24,19,39,7,28,11,306,10,14
121,-14.9,-6.4,9,4,3,2,13,1,77,3,4
122,2.4,-1.7,3,3,19,2,7,1,42,4,4
122,3.0,-3.3,2,3,15,1,7,1,35,4,4
122,-1.1,-3.4,1,0,4,1,0,0,7,0,0
123,4.7,-3.0,70,47,99,16,179,16,487,54,41
124,-16.5,-20.5,4,1,38,4,4,0,31,2,6
125,8.6,3.0,38,18,53,9,26,4,281,11,28
126,-1.9,3.4,22,10,68,17,18,7,51,8,13
126,-3.0,-1.0,16,9,47,14,12,4,35,4,9
126,0.4,9.0,6,1,21,3,6,3,16,4,4
127,0.3,11.2,43,12,26,3,11,19,419,3,7
128,-2.5,-4.1,60,62,84,19,216,11,969,51,64
129,-5.7,-7.0,13,6,33,5,17,3,50,3,11
130,1.0,-1.0,16,16,47,13,34,19,92,10,21
131,-3.3,-0.8,17,10,61,10,38,20,177,8,23
131,-5.3,-0.9,13,7,46,7,24,16,142,4,17
131,1.6,2.5,4,3,15,3,14,4,35,4,6
132,0.8,3.2,103,22,64,30,201,14,1033,40,53
133,13.3,5.8,49,22,47,11,32,21,360,4,27
134,5.4,1.2,153,62,49,34,248,11,1320,80,67
135,3.6,2.5,10,4,43,2,26,21,64,9,12
136,-4.6,2.4,13,4,28,1,13,5,144,2,7
137,-10.9,-8.9,3,9,29,10,28,3,45,10,27
138,-4.9,-8.1,16,4,14,5,13,6,153,2,9
139,3.3,0.8,87,24,46,17,77,18,718,14,27
140,-5.9,0.3,68,53,83,41,142,7,374,31,93
140,-4.4,-0.5,56,47,70,35,122,7,341,24,82
140,-16.6,-9.2,12,6,13,6,20,0,33,7,11
141,3.7,-2.3,6,1,19,0,0,5,67,0,2
142,-0.6,4.6,37,12,65,11,23,8,420,8,20
