Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
370,-35.1,-26.6,3,0,1,0,0,1,7,0,0
371,0.2,5.1,2,0,9,0,8,2,44,1,1
372,-3.3,4.8,41,11,50,7,19,21,408,3,14
373,1.5,-3.3,57,32,82,12,36,14,521,6,58
374,-1.2,-0.3,10,2,25,6,14,6,75,7,2
375,7.0,8.3,4,0,16,1,13,3,19,1,6
376,5.8,8.5,21,17,89,9,16,19,454,4,11
377,-5.3,-8.3,13,1,21,4,8,2,118,4,2
378,-0.3,-9.5,9,4,38,4,16,18,85,7,11
379,-10.6,-10.6,6,8,36,16,29,0,89,8,15
380,-4.6,-6.3,23,8,30,3,27,3,273,6,6
381,-4.9,-0.6,35,30,57,12,84,19,245,14,35
382,-31.9,-35.1,1,0,0,0,2,0,3,2,0
383,0.0,-2.7,23,21,14,3,23,17,124,4,10
384,1.4,-2.5,24,13,80,20,29,16,288,4,14
385,-8.4,-11.1,4,0,3,0,3,3,10,1,2
386,-9.0,-2.4,40,21,73,12,46,27,379,14,36
387,-0.1,-1.1,37,23,75,13,120,22,198,30,75
388,-58.8,-59.4,0,0,0,0,0,0,0,0,0
389,0.0,8.9,3,0,4,1,1,0,19,1,0
390,-4.9,0.1,21,21,50,8,39,8,160,10,37
390,-7.5,0.6,19,20,46,7,34,6,137,9,32
390,20.3,23.0,2,1,4,1,5,2,23,1,5
391,-34.4,-26.9,2,0,0,0,0,0,8,0,0
392,-11.0,-4.5,33,31,54,21,113,6,307,31,54
393,-0.6,4.5,7,5,35,10,14,11,42,5,3
394,3.3,-4.1,9,2,24,9,14,8,99,3,5
395,-31.5,-33.4,0,1,2,1,0,0,4,0,0
396,5.8,11.4,104,37,42,10,38,10,1132,17,9
397,23.4,24.3,5,2,12,2,2,4,60,0,3
398,-3.7,4.4,64,20,38,3,45,7,737,11,45
399,-15.2,-12.1,9,4,22,1,4,1,116,2,7
400,-17.5,-21.2,3,4,34,10,5,0,19,0,5
401,-4.3,-4.1,19,8,20,3,10,5,141,4,15
402,-0.7,-4.1,43,9,61,15,69,9,366,16,22
403,5.1,9.6,27,8,83,14,40,16,279,14,24
404,-5.2,-12.2,3,1,15,3,2,1,21,0,3
405,6.7,0.0,0,0,2,0,1,0,6,0,0
406,-8.5,0.6,31,23,36,5,43,18,316,11,32
407,-11.6,-5.6,51,25,61,11,50,7,246,13,32
408,0.4,-2.4,18,10,54,9,34,3,101,10,27
409,3.2,7.3,8,2,18,0,14,2,58,6,5
410,-6.9,-0.9,14,19,51,20,44,4,237,13,28
411,6.3,3.0,36,24,106,22,122,2,256,29,33
412,8.4,4.9,12,6,53,10,51,12,144,13,13
413,5.3,-2.3,28,24,38,10,63,5,218,15,34
414,1.7,5.0,54,30,65,17,30,20,279,3,27
415,-4.8,4.1,0,0,1,0,3,0,13,0,1
416,-5.2,3.2,65,65,73,38,163,7,502,42,65
417,7.1,2.3,0,0,3,0,1,0,7,0,0
418,-6.9,2.0,33,33,72,7,56,16,212,10,54
419,-1.3,0.1,36,17,49,4,51,22,288,10,15
420,-0.5,4.9,6,7,54,4,30,4,87,8,16
421,3.0,1.3,51,19,60,16,42,16,388,9,37
422,2.6,-0.7,22,15,71,6,51,18,292,15,27
423,1.4,-0.3,0,1,7,0,0,2,10,0,2
424,7.5,11.7,24,10,103,12,23,17,236,7,9
425,-7.7,-6.5,25,20,60,5,39,3,235,7,41
425,-8.9,-0.2,25,18,46,3,32,2,206,5,35
425,-0.6,-3.2,0,2,14,2,7,1,29,2,6
426,-1.0,-2.2,30,10,60,3,22,10,203,4,14
426,4.4,-2.4,17,4,26,2,6,6,105,1,7
426,-6.1,-1.8,13,6,34,1,16,4,98,3,7
427,28.1,33.1,2,1,1,0,0,1,17,0,0
428,-3.1,5.9,5,11,121,14,74,4,82,18,20
429,-8.0,-9.7,1,0,0,0,0,0,0,0,0
430,1.9,-5.5,67,7,16,6,13,11,566,1,15
431,-3.6,0.9,71,45,27,4,73,8,700,22,56
432,-2.8,-4.0,34,15,49,14,68,0,198,22,41
433,-10.1,-9.5,79,23,49,20,64,20,627,20,46
434,3.1,6.3,123,25,54,5,91,49,1300,16,43
435,-8.5,-2.4,100,40,37,4,75,7,646,10,18
435,-10.6,-2.7,71,26,24,2,61,5,455,7,14
435,-3.2,1.6,29,14,13,2,14,2,191,3,4
436,3.4,2.9,61,45,80,44,131,2,731,32,56
437,6.1,7.3,0,1,0,1,2,1,14,0,2
438,1.3,-1.2,5,3,29,5,14,4,48,5,5
439,-1.3,-3.4,40,15,88,14,58,8,286,17,42
440,-2.5,2.0,88,25,60,6,51,21,852,15,31
441,-7.6,-3.4,2,3,25,1,5,4,33,0,4
442,5.0,7.8,93,42,46,16,90,24,602,20,55
443,6.5,6.4,15,6,48,5,12,3,131,2,8
444,3.3,0.4,8,0,21,1,3,2,66,2,5
445,-9.1,-3.3,63,63,48,14,106,22,465,28,120
446,4.5,-3.3,22,10,63,3,28,11,239,4,14
447,-19.3,-21.9,2,0,1,0,1,1,2,0,1
448,-8.9,-8.9,7,1,8,1,2,5,31,1,1
449,9.1,6.2,58,37,59,30,141,2,533,38,60
450,-5.4,-9.2,10,8,49,12,22,7,61,1,13
451,1.2,-2.6,115,25,55,38,124,25,1136,24,32
452,-8.0,-11.9,30,16,61,7,41,6,242,10,38
453,-5.6,3.4,5,3,5,1,10,2,33,3,2
454,7.1,1.3,68,14,74,6,53,30,678,11,19
455,-16.8,-12.5,34,13,32,4,23,6,239,5,11
456,-3.5,2.2,62,20,71,3,33,12,828,10,27
457,-16.4,-22.7,3,0,2,1,1,0,8,0,0
458,-13.1,-15.6,1,0,4,0,1,0,6,0,1
459,-6.4,-4.5,19,8,50,4,8,6,301,2,9
460,-9.4,-0.9,31,9,33,6,43,2,107,12,17
461,93.3,96.9,0,0,0,0,0,0,0,1,0
462,-1.9,-4.9,9,7,17,1,15,5,131,2,12
463,-6.3,-5.0,20,5,26,8,3,4,76,1,2
463,-31.0,-29.1,5,0,4,1,0,0,6,0,0
463,-3.9,-3.2,15,5,22,7,3,4,70,1,2
464,10.4,11.1,55,52,47,27,136,6,487,24,62
465,-6.8,-0.7,65,31,54,10,83,11,755,18,38
465,-4.2,0.6,43,22,34,4,58,7,515,10,26
465,-11.7,-4.4,22,9,20,6,25,4,240,8,12
466,-1.6,-1.9,35,15,53,7,30,11,371,10,26
467,6.8,0.5,20,9,114,17,49,19,275,15,29
468,-10.6,-8.3,46,18,35,6,20,8,339,2,32
469,-30.0,-26.3,3,0,7,0,1,0,8,0,0
470,-26.0,-26.1,1,2,6,2,3,0,16,2,0
471,7.0,0.4,8,1,22,1,4,1,54,1,13
472,-9.9,-4.1,26,31,61,22,67,4,290,14,65
473,-5.9,-4.6,1,0,1,1,2,0,8,0,1
474,2.9,0.8,26,11,73,5,17,13,190,3,8
475,-5.7,-4.9,19,5,34,6,14,9,109,3,7
475,-13.2,-14.6,14,3,28,1,11,6,77,3,5
475,-1.2,1.0,2,1,1,1,0,0,6,0,0
475,10.6,12.1,3,1,5,4,3,3,26,0,2
476,-15.0,-6.8,8,4,15,1,3,2,62,1,7
477,-2.2,4.0,45,21,51,28,93,7,345,33,36
478,-2.1,-1.9,8,6,27,4,19,14,151,4,11
479,-12.2,-6.5,12,3,10,4,13,2,70,0,7
480,3.3,1.0,35,9,121,15,11,42,286,2,13
481,-5.8,-8.5,5,0,4,1,12,10,13,2,3
482,-12.2,-4.6,18,5,12,1,8,1,92,3,4
483,0.7,-3.3,27,20,95,22,86,15,177,23,22
484,9.3,12.1,0,0,2,0,1,0,0,0,0
484,34.6,35.5,0,0,1,0,1,0,0,0,0
484,1.2,5.9,0,0,1,0,0,0,0,0,0
485,0.6,2.7,37,38,97,27,92,4,316,17,39
486,-5.6,-2.7,18,2,26,1,4,1,106,0,2
487,-26.5,-25.6,3,1,3,1,1,0,6,0,0
487,-17.5,-20.0,3,1,3,1,0,0,6,0,0
487,-100.0,-95.6,0,0,0,0,1,0,0,0,0
488,5.2,-3.3,60,34,46,18,75,10,860,19,51
489,-17.2,-20.6,0,1,4,0,0,1,15,0,3
490,-7.8,-7.2,7,4,18,7,10,1,68,1,10
490,-6.9,-2.6,7,3,17,7,9,1,62,1,10
490,-21.0,-23.4,0,1,1,0,1,0,6,0,0
491,0.8,4.3,34,27,87,9,76,2,530,23,50
492,-7.5,0.6,3,0,3,0,1,0,5,1,0
493,-4.8,-0.3,14,12,70,24,40,38,137,6,23
494,6.2,1.9,8,4,4,4,8,1,52,5,7
494,16.8,14.0,0,1,2,2,1,0,7,1,4
494,3.6,-2.3,8,3,2,2,7,1,45,4,3
495,6.1,-0.7,56,49,53,1,88,34,643,18,64
496,0.3,2.0,15,14,38,6,32,4,166,8,21
497,-10.4,-2.6,2,3,11,2,6,3,31,1,5
498,-2.4,-4.0,3,0,8,2,3,1,71,0,1
498,-0.3,-7.2,3,0,7,1,3,0,58,0,1
498,-20.7,-16.7,0,0,1,1,0,1,13,0,0
499,5.5,-1.6,37,19,55,5,62,5,433,10,26
500,3.3,2.5,29,23,74,16,107,21,230,40,33
501,-6.9,0.6,43,25,98,13,69,5,310,17,40
502,2.7,3.5,0,2,5,0,4,1,12,0,2
503,7.9,1.5,11,4,5,0,1,0,39,0,2
504,15.2,15.9,2,0,3,0,4,1,19,1,4
504,22.1,30.2,0,0,1,0,0,0,8,0,1
504,13.8,7.3,2,0,2,0,4,1,11,1,3
505,-12.5,-11.6,3,1,3,0,0,0,29,0,2
506,2.8,-0.5,131,80,68,25,187,5,1014,46,81
507,-4.6,-2.6,48,36,46,10,62,16,427,16,61
508,0.5,3.2,48,24,84,4,94,53,555,26,27
509,2.6,8.0,33,38,114,27,115,10,191,44,39
510,-5.4,1.8,48,52,84,16,133,3,493,35,56
510,-4.2,0.8,36,44,68,14,104,1,388,24,45
510,-10.0,-1.4,12,8,16,2,29,2,105,11,11
511,7.2,1.0,22,6,85,19,22,12,161,7,14
512,-10.4,-6.1,1,1,5,2,6,2,19,1,4
513,-1.4,-0.1,11,7,46,3,10,16,143,4,5
514,3.5,-6.6,129,32,17,8,135,20,854,26,50
515,-2.4,-5.7,17,4,38,10,16,6,149,6,8
515,-6.0,1.6,14,2,24,9,14,4,104,5,7
515,6.0,-4.4,3,2,14,1,2,2,45,1,1
516,5.1,-1.6,8,5,29,5,14,3,63,6,1
517,2.9,0.6,2,0,3,1,0,0,14,0,1
518,4.7,7.6,19,25,16,9,88,4,126,18,39
519,-4.7,-16.3,6,3,21,2,7,3,62,2,3
520,7.5,5.1,16,4,15,2,10,3,104,1,4
521,2.2,10.9,24,30,49,15,105,13,144,30,31
522,2.1,-4.9,41,25,45,2,41,7,636,10,30
523,-27.9,-30.6,3,0,4,0,2,0,16,0,1
524,-6.2,-5.8,50,22,69,18,28,26,279,6,44
525,-5.5,7.4,186,68,43,15,203,29,1292,36,80
526,-9.4,-3.9,24,20,62,22,90,8,211,26,44
527,33.3,34.5,0,0,0,0,0,0,0,0,0
528,1.5,10.3,1,5,13,3,8,0,14,5,5
529,9.2,4.4,18,13,113,20,75,1,196,11,28
